source,target,Correlation
421,472,0.9752093414610228
423,474,0.9712241485674398
476,478,0.9709757877097428
423,472,0.9706577259377062
474,476,0.9671009776958644
472,474,0.9669416422048716
474,478,0.9651229436560048
421,423,0.954655593652342
472,476,0.9533603357861624
420,423,0.9500781744248948
420,421,0.945009790916872
421,519,0.9401106341309632
423,478,0.938773502028664
472,478,0.938127586468352
423,476,0.935408766111048
20,25,0.9351552202524837
421,474,0.9334515806396394
123,126,0.932775786511683
416,519,0.9326559831964666
421,476,0.9318300829001156
252,547,0.931621565324104
420,472,0.9312253459971443
420,474,0.9274394958973328
420,519,0.920419400892542
472,519,0.9197819678967808
313,574,0.916481268809732
414,518,0.9156875502520117
249,547,0.9110960879303308
249,252,0.911090640313947
421,478,0.9099734669991338
414,519,0.9096755064588108
164,167,0.908274784514314
416,420,0.9080188964853768
310,518,0.9071115461385848
99,185,0.905730325323804
162,542,0.9053195584474936
392,479,0.9051804114572372
183,237,0.9049206972455398
95,182,0.90483902033508
416,421,0.9048274133348474
395,405,0.9038159314014916
423,519,0.9037340247017556
420,478,0.9031394927192348
386,474,0.9009287546562676
29,95,0.8974939101754879
476,519,0.8974484846444678
95,99,0.897078396511526
395,478,0.8959521532046656
405,574,0.8940694735403164
420,476,0.8937484605567558
566,574,0.8927104141880331
474,519,0.8903151035559642
416,476,0.8898361304104835
518,519,0.8885483136169748
386,395,0.8874845415218658
29,230,0.8855014899182265
84,405,0.8852814475593898
123,237,0.8852079429638327
418,422,0.8844257670170927
416,423,0.884341275607787
395,404,0.8820114717048085
95,392,0.8818149056523518
416,472,0.8769982879943155
327,414,0.8749752849831011
99,403,0.8746723789880387
99,110,0.874443135144919
570,574,0.8730029669644449
404,574,0.8725725710360934
416,478,0.8725016296302351
386,478,0.8724275006577118
390,397,0.8722929257359294
126,237,0.8721677589354165
404,405,0.871973373181002
478,519,0.8714054889450952
395,474,0.8711095316948568
182,392,0.8703238885447885
357,395,0.8700277629664017
129,177,0.8695243801198769
416,474,0.8682987072264198
95,313,0.8659842047359305
313,566,0.8657608086276425
357,478,0.8653518084744306
84,404,0.8649381714253362
398,404,0.8614299909613504
84,574,0.8607070657490855
306,310,0.8605659799161584
386,390,0.8599159920314723
395,574,0.8599030363218076
478,479,0.8593767754896108
476,479,0.8586956536499509
357,474,0.8578074423865902
474,479,0.8577672970629381
276,277,0.8575087306556878
414,421,0.8571654483045911
395,476,0.8569935948221966
99,182,0.8568606931594157
275,568,0.8556730563929327
386,423,0.854482575088149
180,237,0.8531852998893797
283,571,0.8515086173875847
108,574,0.8506754728965454
313,392,0.8505832552617182
235,237,0.8500054327842299
405,478,0.8494649726918433
79,151,0.8492021831539639
370,372,0.8489344426120327
313,405,0.8488961187119859
462,463,0.8479759152664473
357,476,0.8475452661131014
414,535,0.846276200613204
126,180,0.8458212641819851
5,11,0.845664116420333
414,416,0.8439326000418224
417,422,0.8426236769622355
298,395,0.8425274837931105
84,108,0.8422748925521282
79,153,0.842274634934822
416,535,0.8422209582693707
110,403,0.8416356150716542
95,574,0.8414399066665672
390,395,0.8410931525622157
84,395,0.8400412058553588
357,472,0.8394825179682429
298,476,0.8394605613733126
29,182,0.8391140888946046
95,96,0.8386323241640117
547,548,0.8374386329970526
192,247,0.8373645643130068
185,403,0.8372873331286559
404,566,0.8371998742400996
357,405,0.8370773507250177
153,360,0.8370168454077218
108,404,0.8369438307358333
29,392,0.8362942546195371
357,423,0.8356987642789615
298,478,0.8353883386455305
96,99,0.8343013164220507
313,404,0.8332315305876494
29,310,0.8330607047628267
405,476,0.8327016750244007
313,479,0.8326080379775047
386,476,0.8323782591502105
395,423,0.8323130442789596
313,570,0.8320182357104858
270,271,0.8307335937512421
420,422,0.8301770953013016
298,474,0.8300914379842377
228,237,0.8298241206090123
42,179,0.8296192794612093
95,403,0.8294970423760182
386,397,0.8284425965160711
151,153,0.8283381041058261
307,310,0.8283190875639522
84,313,0.8282745964193413
404,570,0.8278660289487679
151,283,0.8276391567609308
413,518,0.8273422788718502
99,392,0.827282597962817
108,182,0.8262738690257263
269,270,0.8259010887964046
392,574,0.8246998444413332
313,395,0.8244583703383712
227,230,0.8238785492923271
110,182,0.823183317195077
67,109,0.8229892654118306
421,518,0.8224846597407403
95,110,0.8221938026274358
571,573,0.8220839317228825
310,414,0.8216554109263072
108,153,0.8216312594915203
230,310,0.8211410019347943
108,313,0.8211160000892532
231,235,0.8209475101056445
414,472,0.8208948876747784
353,360,0.8206452147600435
395,479,0.820307823290479
419,476,0.8201701289681338
414,420,0.8195773740620107
182,403,0.8192381675385004
419,478,0.8185827206971116
395,420,0.8182860595532742
108,185,0.8178076886691675
319,426,0.8177746990427789
182,235,0.8176076214581394
99,574,0.8171879013297731
95,235,0.8170720898850556
405,474,0.8168884841273422
99,108,0.8168280593799612
414,423,0.8151936794948156
182,566,0.815188701278207
405,570,0.8140763352654364
112,404,0.8137901941412601
322,535,0.8136225270335186
95,566,0.8135691387823991
357,404,0.8126909640089935
398,571,0.8121131996024622
357,372,0.8120177288245075
108,395,0.811383254135871
249,548,0.8112847489175898
395,416,0.8105779004945173
95,230,0.8098407083001753
110,111,0.8092373052313007
386,420,0.8090705300489983
417,418,0.8086695381595164
472,479,0.8078876521879982
84,357,0.8078772488650149
386,472,0.8078766816921774
298,423,0.8070739688028582
99,313,0.8066936897263944
357,386,0.8061991607472996
404,479,0.8061235644115615
405,479,0.8060428875128008
297,298,0.8058321004227856
29,313,0.8055685495561385
75,105,0.805192495350298
96,237,0.8051834360883194
231,237,0.8050460045193257
67,75,0.8048679862719655
269,271,0.8046682061936883
298,416,0.804554464565159
327,519,0.8044523042663466
297,533,0.8034959303887546
29,99,0.8034055356596724
360,404,0.8032239035564758
419,474,0.8032058737771903
99,276,0.8031459791809192
433,541,0.8027848173341051
84,398,0.8022588977742683
423,479,0.8022288075692969
566,570,0.8014295916749056
386,404,0.8012304704653211
472,518,0.8010942352981815
405,566,0.8010708314758758
417,420,0.8002343149158049
395,419,0.7995395769416225
519,535,0.7994125395381235
107,400,0.7982881139358562
414,474,0.7982070212336742
416,422,0.7980742708804526
182,574,0.7978683222301124
357,420,0.7976562356280367
327,418,0.7974877211398557
182,313,0.7971645796607726
179,180,0.7969485421316307
395,570,0.7966804098424062
99,235,0.7966307327738158
414,418,0.7963715986006433
392,566,0.7962593314910588
183,228,0.7960557181717524
421,479,0.7958548013053026
488,540,0.7958086645161129
310,479,0.7956670131052948
126,179,0.7954614197225575
395,422,0.7952871596990037
182,230,0.7952335753271731
181,182,0.7951560061654755
386,405,0.794973164398365
252,548,0.7944619960435322
108,566,0.7943717045909902
108,231,0.7943317561823817
386,479,0.7942252507516838
414,476,0.7940189975705502
270,563,0.7939971555517051
419,423,0.7938459641029542
123,231,0.793681422249569
271,564,0.7935387478390579
123,180,0.7931414176494754
1,230,0.7931301847910525
395,417,0.7930795190738726
20,307,0.792767505424835
357,421,0.7919696626841942
405,416,0.7919351931704823
291,297,0.7914517891035656
73,353,0.791026113619746
398,566,0.7904855399943447
313,508,0.790299502850838
392,403,0.7902712917679335
29,306,0.7900793713591329
479,519,0.7891746996025565
94,310,0.7889105000190416
182,185,0.7886628893956688
479,574,0.787904519753051
416,418,0.7873692967091922
405,423,0.7872617449137645
96,235,0.787097947562512
298,420,0.7869060544357942
422,423,0.7867109935570068
327,518,0.7866025067043019
151,571,0.7863989209180987
298,472,0.786229121901433
159,456,0.7861206492404096
413,414,0.7858079602398245
508,574,0.7855438989632202
398,574,0.7854042991568172
357,397,0.7851924893422552
108,235,0.785132182965701
1,173,0.7850904059961875
404,478,0.784867518006389
274,277,0.7841475474335992
419,472,0.7841233504547266
108,392,0.7840321061831996
180,183,0.7836851360615668
360,395,0.7836604303422082
283,398,0.7834503744473716
419,421,0.7833983025325024
405,419,0.7830932824831767
84,566,0.7818731516495975
94,230,0.7816551219133019
88,171,0.7811330025672544
306,313,0.7809732183647161
99,566,0.7809105768064105
395,472,0.7804817363224458
391,392,0.7804568353938247
105,183,0.7803256015845514
476,518,0.7801346390173053
230,306,0.7801332805759315
185,276,0.7798344786242487
327,421,0.7797159435340598
395,398,0.7792856237052916
230,231,0.7791720460668305
95,108,0.7790305210866436
153,404,0.7790116092840508
185,566,0.7789178959123364
298,357,0.7785667861688753
416,518,0.7784644575242545
353,362,0.7784472685143121
310,519,0.7780514869259708
420,479,0.7779310792344679
390,478,0.7777789271134873
357,419,0.7775936261466032
26,270,0.7773858491723038
298,519,0.7773109847829812
11,463,0.7770326573944829
46,139,0.7767092795330475
105,237,0.7764392984477559
111,403,0.7763095281397021
357,416,0.7761389724820804
183,235,0.7759271015103736
422,474,0.7756291278493077
395,508,0.7753801902497042
84,479,0.7753037018831518
123,235,0.7751741984216514
352,394,0.7751098085573346
563,564,0.7749974224033038
271,567,0.7747582884425429
488,541,0.7744285643565229
518,535,0.7738287168385664
153,283,0.7735460162614437
397,398,0.7735408101410975
25,307,0.7735290469826759
151,398,0.7732678563066783
66,80,0.7730386343037655
79,283,0.7730089252096818
149,150,0.7729838114795633
79,372,0.7728091837548043
413,519,0.7726805598505605
284,573,0.7725723194269248
392,405,0.7715139833098764
360,372,0.7709591579789609
395,566,0.7707161666155375
306,518,0.7703720691447221
405,420,0.7703543000620721
392,404,0.7702617751880725
367,373,0.7702422427361095
298,405,0.770216298710977
547,549,0.7699846267118332
230,479,0.7699627114816412
306,566,0.7698114227746742
20,310,0.7695713730834624
108,283,0.7692871779445697
75,237,0.7691253494785721
398,570,0.7689111107939061
153,395,0.7686836750725591
413,472,0.768571420352372
108,183,0.768288859782026
108,405,0.7680936228349456
479,566,0.7674276179014077
96,183,0.7673623295741208
113,400,0.7672820979350256
416,419,0.7672708768443676
313,535,0.7669836369332319
171,235,0.7668719028532951
481,535,0.7668064954366265
110,185,0.7664837785602331
123,228,0.7660927587866527
313,476,0.7660078927407233
572,573,0.7658975424270063
235,574,0.7657825226368468
271,275,0.7657581501833656
271,274,0.7657369323707339
327,472,0.7656827722651152
230,235,0.7656441567355919
474,518,0.765452286824751
322,327,0.7654508778276816
29,479,0.7651504699651805
182,276,0.7646545103425569
310,413,0.7645598456505516
396,508,0.7644829118755347
95,508,0.764309701344415
421,535,0.7641068818217186
151,277,0.7640147933035176
306,479,0.7639713646560855
404,476,0.7639485529525637
96,182,0.7637793098582233
357,370,0.7636829896507703
395,397,0.7636515797327825
404,474,0.7634659920462279
84,570,0.7631822492403662
298,421,0.7624852539037174
322,414,0.7623744967299925
276,566,0.7623213846771524
74,109,0.7622242587362714
8,291,0.762157571330694
357,390,0.7619119770964777
73,80,0.7618398575285431
29,96,0.7617857556676605
420,535,0.7610185599608136
